"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
48123-00011,어린이공원74,어린이공원,,경상남도 창원시 성산구 안민동 194,35.187024,128.688903,1580,,,,,,1996-04-27,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00012,대방체육공원,체육공원,경상남도 창원시 성산구 비음로 213,경상남도 창원시 성산구 대방동 250-1,35.216272,128.711179,532957.4,,,,,,1997-02-28,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00013,어린이공원80,어린이공원,,경상남도 창원시 성산구 대방동 333-3,35.215783,128.705849,508.2,,,,,,1998-05-08,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00014,어린이공원81,어린이공원,,경상남도 창원시 성산구 가음동 35-3,35.206583,128.702162,807.8,,,,,,1998-05-08,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00015,어린이공원82,어린이공원,,경상남도 창원시 성산구 가음동 42-2,35.205171,128.702336,330.3,,,,,,1998-05-08,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00016,어린이공원84,어린이공원,,경상남도 창원시 성산구 성주동 161,35.195808,128.716264,10689.8,,,,,,1999-06-01,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00017,불모산 공원,근린공원,,경상남도 창원시 성산구 성주동 174-1,35.194644,128.721382,91488.1,,,,,,1999-06-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00018,어린이공원85,어린이공원,,경상남도 창원시 성산구 성주동 155-2,35.198161,128.716759,3915.3,,,,,,1999-06-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00019,어린이공원86,어린이공원,,경상남도 창원시 성산구 성주동 172,35.1928398559,128.721634,1521.2,,,,,,1999-06-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00020,제73호소공원,소공원,,경상남도 창원시 성산구 성주동 118-7,35.198227,128.709543,1130.6,,,,,,1999-06-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00021,어린이공원90,어린이공원,,경상남도 창원시 성산구 대방동 370-3,35.206503,128.711042,2092.8,,,,,,2000-02-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00022,어린이공원123,어린이공원,,경상남도 창원시 성산구 남양동 33,35.207821,128.703069,1337.5,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00023,어린이공원124,어린이공원,,경상남도 창원시 성산구 남양동 21,35.212374,128.700963,3421.4,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00024,어린이공원125,어린이공원,,경상남도 창원시 성산구 사파동 18-1,35.229789,128.697457,1362.4,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00025,어린이공원126,어린이공원,,경상남도 창원시 성산구 반지동 51,35.241141,128.663544,5063.4,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00026,어린이공원127,어린이공원,,경상남도 창원시 성산구 반지동 53-3,35.2411097950,128.664834,1648.5,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00027,어린이공원128,어린이공원,,경상남도 창원시 성산구 반지동 64-1,35.238833,128.664043,2231.2,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00028,어린이공원129,어린이공원,,경상남도 창원시 성산구 중앙동 37-4,35.224774,128.673283,1247.3,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00029,어린이공원130,어린이공원,경상남도 창원시 성산구 외동반림로54번길 13-14,경상남도 창원시 성산구 중앙동 34-1,35.224366,128.674497,2882.4,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00030,어린이공원131,어린이공원,,경상남도 창원시 성산구 중앙동 20-2,35.227394,128.675104,5403.4,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00031,어린이공원132,어린이공원,,경상남도 창원시 성산구 사파동 72-1,35.221795,128.702275,2936.2,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00032,어린이공원133,어린이공원,,경상남도 창원시 성산구 사파동 109-1,35.220745,128.699059,1495.1,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00033,어린이공원134,어린이공원,경상남도 창원시 성산구 창이대로684번길 30,경상남도 창원시 성산구 사파동 115,35.222356,128.696864,3686.1,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00034,어린이공원135,어린이공원,,경상남도 창원시 성산구 상남동 42-1,35.220407,128.685959,4666.7,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00035,어린이공원136,어린이공원,,경상남도 창원시 성산구 상남동 48,35.214621,128.6883797743,436.6,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00036,어린이공원107,어린이공원,,경상남도 창원시 성산구 신월동 18,35.227781,128.695847,3566.4,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00037,어린이공원(용호),어린이공원,,경상남도 창원시 성산구 용호동 35,35.239583,128.683782,3724.4,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00038,어린이공원112,어린이공원,,경상남도 창원시 성산구 용호동 22-1,35.237652,128.685844,2386.8,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00039,어린이공원113,어린이공원,,경상남도 창원시 성산구 신월동 23,35.227285,128.694591,2498.1,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00040,어린이공원114,어린이공원,,경상남도 창원시 성산구 신월동 43,35.229935,128.689651,1940,,,,,,2000-04-06,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00041,어린이공원142,어린이공원,,경상남도 창원시 성산구 사파동 33-21,35.230242,128.701177,1253.5,,,,,,2001-02-15,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00042,어린이공원143,어린이공원,,경상남도 창원시 성산구 신촌동 34-4,35.201495,128.628225,781.7,,,,,,2001-04-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00043,어린이공원144,어린이공원,,경상남도 창원시 성산구 신촌동 33-3,35.201192,128.628242,779.7,,,,,,2001-04-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00044,어린이공원232,어린이공원,,경상남도 창원시 성산구 신촌동 22-2,35.201383,128.628745,1787,,,,,,2001-04-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00045,어린이공원155,어린이공원,,경상남도 창원시 성산구 남양동 41-1,35.205049,128.704205,1382.4,,,,,,2004-11-02,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00046,창원묘지공원,묘지공원,경상남도 창원시 성산구 공단로474번길 160,경상남도 창원시 성산구 상복동 591,35.191857,128.663619,276107,,,,,,2006-05-04,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00047,어린이공원193,어린이공원,,경상남도 창원시 성산구 성주동 177-1,35.190439,128.723494,2564.6,,,,,,2007-08-23,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00048,어린이공원200,어린이공원,,경상남도 창원시 성산구 성주동 167,35.194803,128.715092,2429.2,,,,,,2008-06-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00049,소공원22,소공원,,경상남도 창원시 성산구 성주동 165,35.194913,128.714545,708.9,,,,,,2008-06-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00050,신촌공원,근린공원,,경상남도 창원시 성산구 양곡동 811-15,35.210898,128.621889,42000,,,,,,2009-06-11,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00051,소공원30,소공원,,경상남도 창원시 성산구 사파동 24-5,35.228244,128.699052,529.2,,,,,,2009-11-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00052,소공원31,소공원,,경상남도 창원시 성산구 상남동 65-3,35.216176,128.677941,2724,,,,,,2009-11-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00053,어린이공원208,어린이공원,,경상남도 창원시 성산구 성주동 111-2,35.199949,128.710899,2589.2,,,,,,2009-12-31,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00054,소공원39,소공원,,경상남도 창원시 성산구 불모산동 584,35.189242,128.725253,866.4,,,,,,2010-08-12,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00055,소공원40,소공원,,경상남도 창원시 성산구 성주동 83-1,35.186373,128.707154,1242.1,,,,,,2011-01-10,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00056,소공원41,소공원,,경상남도 창원시 성산구 성주동 88-1,35.185986,128.706584,1245.7,,,,,,2011-01-10,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00057,소공원42,소공원,,경상남도 창원시 성산구 성주동 86-1,35.184237,128.706842,2261.1,,,,,,2011-01-10,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00058,소공원43,소공원,,경상남도 창원시 성산구 가음동 12-3,35.209662,128.692305,1158.9,,,,,,2011-08-05,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00059,소공원44,소공원,,경상남도 창원시 성산구 가음동 12-6,35.209321,128.689327,1662.1,,,,,,2011-08-05,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00060,소공원45,소공원,경상남도 창원시 성산구 원이대로878번길 9,경상남도 창원시 성산구 가음동 13-2,35.209156,128.692851,709,,,,,,2011-08-05,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00061,소공원46,소공원,경상남도 창원시 성산구 원이대로878번길 9,경상남도 창원시 성산구 가음동 13-4,35.209156,128.692851,694,,,,,,2011-08-05,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00062,어린이공원213,어린이공원,,경상남도 창원시 성산구 용호동 69-1,35.231948,128.676648,2843,,,,,,2011-09-19,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00063,소공원47,소공원,,경상남도 창원시 성산구 용호동 74-1,35.230415,128.676239,1503.8,,,,,,2011-11-18,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00064,어린이공원215,어린이공원,,경상남도 창원시 성산구 대원동 42-1,35.234293,128.650424,4600.4,,,,,,2012-03-21,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00066,소공원49,소공원,,경상남도 창원시 성산구 성주동 80,35.188255,128.707904,4208.2,,,,,,2013-05-16,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00067,소공원59,소공원,,경상남도 창원시 성산구 대원동 14-1,35.233931,128.654649,3091,,,,,,2014-04-09,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00068,소공원61,소공원,,경상남도 창원시 성산구 대원동 1-1,35.235918,128.651263,687.9,,,,,,2014-04-09,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00069,소공원60,소공원,,경상남도 창원시 성산구 대원동 33-1,35.233458,128.651808,1161.8,,,,,,2014-04-09,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00070,소공원62,소공원,,경상남도 창원시 성산구 대원동 12-5,35.234257,128.653977,2157.3,,,,,,2014-04-09,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00071,상복제3공원,소공원,,경상남도 창원시 성산구 완암동 309,35.203899,128.653906,1009.8,,,,,,2015-12-28,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00072,상복제1공원,소공원,,경상남도 창원시 성산구 창곡동 31,35.206009,128.651981,1301.8,,,,,,2015-12-28,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00073,상복제2공원,소공원,,경상남도 창원시 성산구 완암동 311,35.204085,128.652927,3583.5,,,,,,2015-12-28,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00074,기업사랑공원,근린공원,,경상남도 창원시 성산구 가음동 49,35.208836,128.687754,63214.2,,,,,,2016-01-07,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00075,창원수목원,근린공원,,경상남도 창원시 성산구 삼동동 147-5,35.228112,128.654723,96618,,,,,,2016-01-11,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00076,소공원88,소공원,경상남도 창원시 성산구 원이대로 850,경상남도 창원시 성산구 가음동 14-5,35.210779,128.695508,902,,,,,,2016-01-11,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00077,소공원89,소공원,경상남도 창원시 성산구 신촌로 62,경상남도 창원시 성산구 신촌동 34-1,35.202981,128.627753,426.1,,,,,,2016-11-15,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00078,소공원95,소공원,,경상남도 창원시 성산구 신월동 13-67,35.230249,128.695104,1250,,,,,,2017-08-31,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00079,소공원96,소공원,,경상남도 창원시 성산구 신월동 12-17,35.232539,128.693495,1730,,,,,,2017-08-31,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00080,대원1공원,소공원,,경상남도 창원시 성산구 대원동 37-1,35.235456,128.650706,2619.4,,,,,,2017-12-15,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00081,소공원101,소공원,,경상남도 창원시 성산구 신월동 93,35.225251,128.687491,7495,,,,,,2017-12-15,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00082,소공원105,소공원,,경상남도 창원시 성산구 신월동 90,35.222416,128.691736,4988,,,,,,2018-01-15,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00083,공원90,근린공원,,경상남도 창원시 성산구 토월동 산 66-3,35.229641,128.706276,30280.8,,,,,,2018-01-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00084,공원86,근린공원,,경상남도 창원시 성산구 남산동 81-2,35.204717,128.712319,17290.3,,,,,,2018-01-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00085,공원87,근린공원,경상남도 창원시 성산구 대암로 185-25,경상남도 창원시 성산구 대방동 산 83,35.2084497885,128.711594,63050.2,,,,,,2018-01-25,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00086,삼정자전통놀이공원,문화공원,,경상남도 창원시 성산구 남산동 148,35.202832,128.707101,11222,,,,,,2019-11-15,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00087,소공원94,근린공원,,경상남도 창원시 성산구 대원동 109-1,35.229745,128.651705,28420,,,,,,2020-05-01,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00088,공원95,근린공원,,경상남도 창원시 성산구 안민동 627,35.184122,128.686345,23967,,,,,,2020-06-11,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00089,공원111,소공원,,경상남도 창원시 성산구 외동 산12,35.222773,128.671251,6461.5,,,,,,2020-06-18,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00090,공원117,소공원,,경상남도 창원시 성산구 토월동 37,35.230745,128.704429,1373.9,,,,,,2020-12-31,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00091,제113호소공원,소공원,경상남도 창원시 성산구 창곡로 179-1,경상남도 창원시 성산구 완암동 240-2,35.203626,128.656048,2027,,,,,,2021-02-10,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00092,제114호소공원,소공원,,경상남도 창원시 성산구 완암동 264,35.2020901181,128.658594,2022,,,,,,2021-02-10,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00093,제115호소공원,소공원,,경상남도 창원시 성산구 상복동 447-1,35.200855,128.661775,1560,,,,,,2021-02-10,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00094,제116호소공원,소공원,경상남도 창원시 성산구 정동로9번길 35-8,경상남도 창원시 성산구 남지동 299-1,35.193603,128.677764,2947,,,,,,2021-02-10,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48123-00095,소공원118,소공원,,경상남도 창원시 성산구 토월동 38,35.230587,128.704227,1402,,,,,,2021-02-18,경상남도 창원시 성산구청,055-272-4501,2024-04-05
48125-00001,산호공원,근린공원,,경상남도 창원시 마산합포구 산호동 532-12,35.213798,128.582016,146175,,,,,,1964-08-06,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00002,추산공원,근린공원,,경상남도 창원시 마산합포구 자산동 산21-4,35.207443,128.567691,105339.6,,,,,,1964-08-06,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00003,어린이공원1,어린이공원,,경상남도 창원시 마산합포구 산호동 56-7,35.217642,128.578512,673,,,,,,1967-12-30,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00004,어린이공원2,어린이공원,경상남도 창원시 마산합포구 산호북10길 5-1,경상남도 창원시 마산합포구 산호동 22-8,35.218709,128.583232,678,,,,,,1967-12-30,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00005,인곡공원,묘지공원,경상남도 창원시 마산합포구 진동면 공원묘원로 223,경상남도 창원시 마산합포구 진동면 인곡리 산 74,35.1408802462,128.529943,2578547,,,,,,1976-03-27,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00006,어린이공원26,어린이공원,,경상남도 창원시 마산합포구 교방동 362-7,35.214706,128.563358,1500,,,,,,1976-12-09,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00007,진동공원,근린공원,,경상남도 창원시 마산합포구 진동면 진동리 56-1,35.119789,128.491302,56620,,,,,,1978-12-13,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00008,자산공원,근린공원,,경상남도 창원시 마산합포구 자산동 산96-9,35.201261,128.560436,20915,,,,,,1979-05-24,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00009,가포공원,근린공원,,경상남도 창원시 마산합포구 가포동 산1-51,35.172536,128.576102,83407,,,,,,1986-07-01,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00010,어린이공원35,어린이공원,,경상남도 창원시 마산합포구 자산동 23-4,35.206226,128.563035,1665,,,,,,1986-11-28,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00011,어린이공원36,어린이공원,,경상남도 창원시 마산합포구 자산동 28-3,35.204235,128.561004,1687,,,,,,1986-11-28,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00012,어린이공원58,어린이공원,,경상남도 창원시 마산합포구 월영동 707,35.173609,128.558894,8934.1,,,,,,1993-07-23,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00013,월영달빛공원,어린이공원,,경상남도 창원시 마산합포구 월영동 710-3,35.170708,128.557016,1558,,,,,,1993-07-23,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00014,만날공원,근린공원,,경상남도 창원시 마산합포구 월영동 산175-8,35.184722,128.548823,90846,,,,,,1994-07-12,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00015,공원34,근린공원,경상남도 창원시 마산합포구 수산2길 35,경상남도 창원시 마산합포구 신포동1가 68-1,35.197574,128.571911,11735.1,,,,,,1994-07-12,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00016,공원35,근린공원,,경상남도 창원시 마산합포구 해운동 54,35.176556,128.566086,10887.3,,,,,,1994-07-12,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00017,어린이공원61,어린이공원,경상남도 창원시 마산합포구 해안대로 279-3,경상남도 창원시 마산합포구 신포동1가 65-1,35.199278,128.572184,2831.1,,,,,,1994-07-12,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00018,어린이공원62,어린이공원,경상남도 창원시 마산합포구 가포로 63,경상남도 창원시 마산합포구 해운동 40,35.177849,128.563758,6047,,,,,,1994-07-12,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00019,어린이공원63,어린이공원,,경상남도 창원시 마산합포구 월영동 727,35.175794,128.568478,8921,,,,,,1994-07-12,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00020,어린이공원67,어린이공원,,경상남도 창원시 마산합포구 진동면 진동리 430,35.118646,128.486981,2100,,,,,,1994-12-31,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00021,어린이공원68,어린이공원,,경상남도 창원시 마산합포구 진동면 진동리 622,35.117276,128.486382,2200,,,,,,1994-12-31,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00022,어린이공원145,어린이공원,,경상남도 창원시 마산합포구 완월동 390-2,35.198065,128.558762,1665,,,,,,2001-12-21,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00023,어린이공원146,어린이공원,경상남도 창원시 마산합포구 진북면 지산1길 71,경상남도 창원시 마산합포구 진북면 지산리 226-19,35.115658,128.464523,1770,,,,,,2002-01-17,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00024,어린이공원147,어린이공원,,경상남도 창원시 마산합포구 진전면 오서리 1763-2,35.100908,128.417395,1520,,,,,,2002-01-17,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00025,어린이공원148,어린이공원,,경상남도 창원시 마산합포구 자산동 20,35.2052799232,128.5651002167,1686,,,,,,2002-08-08,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00026,노비산 공원,근린공원,경상남도 창원시 마산합포구 노산북8길 49-1,경상남도 창원시 마산합포구 상남동 58-8,35.214106,128.5741296973,11088,,,,,,2003-03-10,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00027,어린이공원168,어린이공원,,경상남도 창원시 마산합포구 진북면 망곡리 424,35.13739967,128.484195,2016.6,,,,,,2005-09-08,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00028,어린이공원169,어린이공원,,경상남도 창원시 마산합포구 진북면 망곡리 431,35.134746,128.484211,4352.5,,,,,,2005-09-08,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00029,어린이공원176,어린이공원,,경상남도 창원시 마산합포구 신포동1가 76-1,35.197313,128.572975,1666.5,,,,,,2006-01-19,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00030,우산공원,근린공원,,경상남도 창원시 마산합포구 우산동 194-1,35.156855,128.551933,20343,,,,,,2006-03-16,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00031,어린이공원178,어린이공원,,경상남도 창원시 마산합포구 월영동 740,35.171516,128.562898,4531,,,,,,2006-07-13,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00032,소공원5,소공원,,경상남도 창원시 마산합포구 상남동 137-4,35.212696,128.5730000439,532,,,,,,2006-08-24,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00033,소공원6,소공원,,경상남도 창원시 마산합포구 월영동 614-54,35.177284,128.559938,419,,,,,,2006-08-24,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00034,현동공원,근린공원,,경상남도 창원시 마산합포구 현동 1294,35.147768,128.555264,73779.6,,,,,,2007-01-04,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00035,공원63,근린공원,,경상남도 창원시 마산합포구 현동 1288,35.145268,128.552337,9598,,,,,,2007-01-04,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00036,어린이공원186,어린이공원,,경상남도 창원시 마산합포구 현동 220,35.149234,128.552488,2057.3,,,,,,2007-01-04,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00037,어린이공원187,어린이공원,,경상남도 창원시 마산합포구 현동 1277,35.146676,128.547124,4844.9,,,,,,2007-01-04,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00038,어린이공원188,어린이공원,,경상남도 창원시 마산합포구 현동 1586,35.143223,128.556418,2680.2,,,,,,2007-01-04,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00039,어린이공원189,어린이공원,,경상남도 창원시 마산합포구 우산동 149,35.152643,128.553519,1636.9,,,,,,2007-01-04,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00040,소공원9,소공원,,경상남도 창원시 마산합포구 덕동동 772-1,35.137605,128.571669,1594,,,,,,2007-06-14,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00041,소공원10,소공원,,경상남도 창원시 마산합포구 덕동동 606,35.139636,128.576095,572,,,,,,2007-06-14,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00042,어린이공원195,어린이공원,,경상남도 창원시 마산합포구 진북면 신촌리 9-4,35.139406,128.481248,4639.3,,,,,,2007-11-29,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00043,소공원16,소공원,,경상남도 창원시 마산합포구 교방동 54-1,35.212522,128.567445,821,,,,,,2007-12-20,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00044,교방천수변공원,수변공원,,경상남도 창원시 마산합포구 교방동 15,35.212498,128.568751,3794.4,,,,,,2007-12-20,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00045,어린이공원198,어린이공원,경상남도 창원시 마산합포구 반월남1길 24-1,경상남도 창원시 마산합포구 반월동 82-8,35.189696,128.560735,4940,,,,,,2008-02-05,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00046,소공원21,소공원,경상남도 창원시 마산합포구 반월남1길 2,경상남도 창원시 마산합포구 중앙동1가 10-8,35.189283,128.561596,130,,,,,,2008-02-05,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00047,소공원25,소공원,경상남도 창원시 마산합포구 자산동4길 30-1,경상남도 창원시 마산합포구 자산동 37-2,35.205817,128.565802,3086,,,,,,2008-07-10,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00048,어린이공원201,어린이공원,경상남도 창원시 마산합포구 문화서13길 10,경상남도 창원시 마산합포구 월영동 77-47,35.188686,128.554965,10522,,,,,,2008-07-17,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00049,소공원26,소공원,,경상남도 창원시 마산합포구 대창동 242,35.185492,128.555036,3125,,,,,,2008-07-17,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00050,소공원27,소공원,경상남도 창원시 마산합포구 용마로 18,경상남도 창원시 마산합포구 산호동 545-7,35.215763,128.5780597961,1278,,,,,,2008-07-17,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00051,어린이공원204,어린이공원,,경상남도 창원시 마산합포구 진동면 진동리 140,35.1151903730,128.4914597123,2800,,,,,,2008-09-11,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00052,어린이공원205,어린이공원,,경상남도 창원시 마산합포구 진북면 신촌리 11-8,35.134399,128.477577,5873.6,,,,,,2009-05-21,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00053,소공원32,소공원,,경상남도 창원시 마산합포구 진북면 정현리 796-2,35.173784,128.465151,1099.9,,,,,,2009-12-03,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00054,소공원33,소공원,,경상남도 창원시 마산합포구 진북면 정현리 788-4,35.174918,128.464206,1400,,,,,,2009-12-03,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00055,소공원35,소공원,,경상남도 창원시 마산합포구 완월동 157,35.199066,128.557394,590,,,,,,2010-01-29,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
48125-00056,가포체육공원,체육공원,,경상남도 창원시 마산합포구 가포동 668,35.162722,128.577362,22535,,,,,,2010-06-10,경상남도 창원시 마산합포구청,055-220-4501,2024-04-05
